Date,Primary Type,Location Description,Arrest,Ward,Year,Latitude,Longitude
09/06/23 6:15,THEFT,LAKEFRONT / WATERFRONT / RIVERBANK,false,46,2023,41.96203391,-87.64589873
09/06/23 23:50,ROBBERY,STREET,false,17,2023,41.76118916,-87.65401376
09/06/23 2:35,BATTERY,STREET,false,8,2023,41.74325563,-87.60136759
08/25/2024 05:32:00 PM,BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),false,47,2024,41.96881582,-87.67461815
09/06/23 2:00,ASSAULT,STREET,false,21,2023,41.68091676,-87.63235978
09/06/23 13:30,ROBBERY,PARKING LOT / GARAGE (NON RESIDENTIAL),false,28,2023,41.86854191,-87.63923536
09/06/23 21:55,CRIMINAL DAMAGE,STREET,false,26,2023,41.91730907,-87.71447333
09/06/23 10:30,THEFT,STREET,false,4,2023,41.83368122,-87.61243999
09/06/23 10:59,CRIMINAL TRESPASS,STREET,false,35,2023,41.93049232,-87.71091716
09/06/23 21:00,THEFT,STREET,false,5,2023,41.77167666,-87.57238829
09/06/23 15:00,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,20,2023,41.7897173,-87.62557633
08/25/2024 10:40:00 AM,THEFT,STREET,false,44,2024,41.94528454,-87.64154272
09/06/23 11:57,CRIMINAL DAMAGE,SCHOOL - PUBLIC BUILDING,false,25,2023,41.85730738,-87.64477861
09/06/23 18:22,OTHER OFFENSE,STREET,false,50,2023,41.99536686,-87.68490232
09/06/23 22:52,OTHER OFFENSE,STREET,true,30,2023,41.94742814,-87.74712604
09/06/23 14:45,BATTERY,SIDEWALK,false,24,2023,41.86823423,-87.70495329
09/07/23 0:00,DECEPTIVE PRACTICE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,false,41,2023,41.97618213,-87.87642115
09/06/23 15:00,THEFT,STREET,false,7,2023,41.71345022,-87.57023696
09/06/23 13:15,OTHER OFFENSE,STREET,true,49,2023,42.0149119,-87.6711289
08/29/2023 10:45:00 AM,THEFT,NURSING / RETIREMENT HOME,false,4,2023,41.81270843,-87.60444003
09/06/23 12:00,THEFT,APARTMENT,false,9,2023,41.70399846,-87.62061763
09/06/23 12:00,THEFT,APARTMENT,false,33,2023,41.94556028,-87.70728224
08/31/2023 12:00:00 PM,DECEPTIVE PRACTICE,APARTMENT,false,27,2023,41.90995935,-87.6385554
09/06/23 12:00,MOTOR VEHICLE THEFT,STREET,false,45,2023,41.98121932,-87.78352534
